"filename", "language", "JavaScript", "JSON", "Markdown", "JavaScript JSX", "CSS", "Python", "Properties", "HTML", "comment", "blank", "total"
"c:\Users\Alfredo\Downloads\NomiWise\server\src\dtos\rol.dto.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Alfredo\Downloads\NomiWise\server\src\dtos\usuario.dto.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Alfredo\Downloads\NomiWise\server\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Alfredo\Downloads\NomiWise\server\src\libs\jwt.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Alfredo\Downloads\NomiWise\server\src\middlewares\usuario.middleware.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Alfredo\Downloads\NomiWise\server\src\models\cargo.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\Alfredo\Downloads\NomiWise\server\src\models\contrato.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43
"c:\Users\Alfredo\Downloads\NomiWise\server\src\models\detalleLiquidacion.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68
"c:\Users\Alfredo\Downloads\NomiWise\server\src\models\empleado.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46
"c:\Users\Alfredo\Downloads\NomiWise\server\src\models\liquidacion.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 4, 71
"c:\Users\Alfredo\Downloads\NomiWise\server\src\models\permiso.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Alfredo\Downloads\NomiWise\server\src\models\rol.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\Alfredo\Downloads\NomiWise\server\src\models\usuario.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 15, 99
"c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\cargo.routes.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\contrato.routes.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 3, 13
"c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\detalleLiquidacion.routes.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 2, 3, 15
"c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\empleado.routes.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\liquidacion.routes.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\permiso.routes.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\rol.routes.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Alfredo\Downloads\NomiWise\server\src\routes\usuario.routes.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\calculosLiquidacion.services.py", "Python", 0, 0, 0, 0, 0, 72, 0, 0, 3, 13, 88
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\cargo.services.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 9, 96
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\contrato.services.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\detalleLiquidacion.services.js", "JavaScript", 245, 0, 0, 0, 0, 0, 0, 0, 3, 37, 285
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\empleado.services.js", "JavaScript", 165, 0, 0, 0, 0, 0, 0, 0, 0, 28, 193
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\liquidacion.services.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\permiso.services.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 10, 90
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\rol.services.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 13, 102
"c:\Users\Alfredo\Downloads\NomiWise\server\src\services\usuario.services.js", "JavaScript", 138, 0, 0, 0, 0, 0, 0, 0, 0, 18, 156
"Total", "-", 1913, 13064, 190, 5612, 2366, 72, 2, 14, 54, 1154, 24441
